Row,Difference,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,Total Expense
2expense,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3expense,2,0,1,1,2,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4expense,3,0,1,1,2,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
5expense,0,0,1,1,2,4,8,16,30,54,91,124,123,117,111,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721
6expense,2,0,1,1,2,4,8,16,30,54,91,124,123,117,111,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705
7expense,3,0,1,1,2,4,8,16,32,61,119,197,233,231,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322
8expense,6,0,1,1,2,4,8,16,32,64,122,199,236,233,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271
9expense,7,0,1,1,2,4,8,16,32,64,128,249,482,888,1504,1924,1922,1911,1905,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11272
10expense,8,0,1,1,2,4,8,16,32,64,128,256,504,978,1877,3469,5823,7063,7064,7061,7061,954,0,0,0,0,0,0,0,0,0,0,0,0,0,41854
11expense,1,0,1,1,2,4,8,16,32,64,128,256,512,1023,2036,4022,7827,14738,25817,37638,37641,37634,37635,18852,0,0,0,0,0,0,0,0,0,0,0,224863
12expense,10,0,1,1,2,4,8,16,32,64,128,256,512,1024,2038,4022,7829,14738,25817,37638,37641,37634,37635,18852,0,0,0,0,0,0,0,0,0,0,0,223844
13expense,4,1,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4092,8181,16299,32207,62700,118241,207443,302494,302518,302491,302514,151560,0,0,0,0,0,0,0,0,1810740
14expense,8,1,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8184,16302,32210,62702,118241,207443,302494,302518,302491,302514,151560,0,0,0,0,0,0,0,0,1806659
15expense,4,4,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16380,32742,65369,130157,257094,499954,940163,1639566,2326576,2326848,2326575,2326845,1054738,0,0,0,0,0,13943007
16expense,22,4,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32746,65372,130162,257098,499954,940163,1639566,2326576,2326848,2326575,2326845,1054738,0,0,0,0,0,13926643
17expense,0,46,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131054,262050,523795,1045403,2078292,4090596,7902126,14646041,24841021,30968927,30973353,30968924,30973345,6272958,0,185743421
18expense,18,46,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131054,262050,523795,1045403,2078292,4090596,7902126,14646041,24841021,30968927,30973353,30968924,30973345,6272958,0,185677885
