Row,Difference,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Total Expense
2expense,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3expense,2,0,1,1,2,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4expense,3,0,1,1,2,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
5expense,0,0,1,1,2,4,8,16,30,54,91,124,123,117,111,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721
6expense,2,0,1,1,2,4,8,16,30,54,91,124,123,117,111,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705
7expense,3,0,1,1,2,4,8,16,32,61,119,197,233,231,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322
8expense,6,0,1,1,2,4,8,16,32,64,122,199,236,233,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271
9expense,7,0,1,1,2,4,8,16,32,64,128,249,482,888,1504,1924,1922,1911,1905,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11272
10expense,8,0,1,1,2,4,8,16,32,64,128,256,504,978,1877,3469,5823,7063,7064,7061,7061,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41854
11expense,1,0,1,1,2,4,8,16,32,64,128,256,512,1023,2036,4022,7827,14738,25817,37638,37641,37634,37635,18852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224863
12expense,10,0,1,1,2,4,8,16,32,64,128,256,512,1024,2038,4022,7829,14738,25817,37638,37641,37634,37635,18852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223844
13expense,4,0,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4092,8181,16299,32207,62700,118241,207443,302494,302518,302491,302514,151560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810740
14expense,8,0,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8184,16302,32210,62702,118241,207443,302494,302518,302491,302514,151560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806659
15expense,4,4,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16380,32742,65369,130157,257094,499954,940163,1639566,2326576,2326848,2326575,2326845,1054738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13943007
16expense,22,4,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32746,65372,130162,257098,499954,940163,1639566,2326576,2326848,2326575,2326845,1054738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13926643
17expense,0,64,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131054,262050,523795,1045403,2078292,4090596,7902126,14646041,24841021,30968927,30973353,30968924,30973345,6272958,0,0,0,0,0,0,0,0,0,0,0,185743421
18expense,18,64,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131054,262050,523795,1045403,2078292,4090596,7902126,14646041,24841021,30968927,30973353,30968924,30973345,6272958,0,0,0,0,0,0,0,0,0,0,0,185677885
19expense,6,249,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262138,524246,1048277,2094990,4180701,8305961,16328340,31461121,57961677,96649470,116011519,116024935,116011515,116024932,12893546,0,0,0,0,0,0,0,0,0,695783368
20expense,18,392,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524270,1048454,2096208,4188044,8349249,16542809,32353765,61628747,111216157,172811264,184770815,184770866,184770813,142923168,0,0,0,0,0,0,0,0,0,1107994629
21expense,0,5291,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097132,4194223,8388049,16773739,33531928,66966369,133347024,263361425,512403375,964534731,1685532124,2414449769,2414748022,2414449766,2414748018,1134582211,0,0,0,0,0,14485156481
22expense,20,5291,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097132,4194223,8388049,16773739,33531928,66966369,133347024,263361425,512403375,964534731,1685532124,2414449769,2414748022,2414449766,2414748018,1134582211,0,0,0,0,0,14484107905
23expense,4,23295,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194300,8388562,16776889,33552213,67094390,134123887,267839854,533237779,1052684087,2046119561,3844794508,6690134542,9396743502,9398007680,9396743499,9398007676,4086205485,0,0,0,56374648414
