iteration,successor,predecessor,prunable
1,5,85,False
1,5,5,True
1,85,341,False
1,85,53,True
2,341,5461,False
2,341,1813,True
2,53,853,False
2,53,277,True
3,5461,21845,False
3,5461,3637,True
3,1813,7253,False
3,1813,1205,True
3,853,3413,False
3,853,565,True
3,277,1109,False
3,277,181,True
4,21845,349525,False
4,21845,116501,True
4,3637,14549,False
4,3637,605,True
4,7253,116053,False
4,7253,38677,True
4,1205,19285,False
4,1205,6421,True
4,3413,54613,False
4,3413,18197,True
4,565,2261,False
4,565,373,True
4,1109,17749,False
4,1109,5909,True
4,181,725,False
4,181,29,True
