x,y,beta,engel_beta,v1,n,sequence
0,0,1.3333333333333333,1.3333333333333333,1,1,[1]
0,1,1,1,1,2,[]
0,2,1,1,1,3,[]
0,3,1,1,1,4,[]
0,4,1,1,1,5,[]
0,5,1,1,1,6,[]
0,6,1,1,1,7,[]
0,7,1,1,1,8,[]
0,8,1,1,1,9,[]
0,9,1,1,1,10,[]
1,1,1.1851851851851851,1.1851851851851853,3,2,[3 5]
1,0,1.1111111111111112,1.1111111111111112,3,1,[3]
1,2,1,1,3,3,[]
1,3,1,1,3,4,[]
1,4,1,1,3,5,[]
1,5,1,1,3,6,[]
1,6,1,1,3,7,[]
1,7,1,1,3,8,[]
1,8,1,1,3,9,[]
1,9,1,1,3,10,[]
2,0,1.0666666666666667,1.0666666666666667,5,1,[5]
2,1,1,1,5,2,[]
2,2,1,1,5,3,[]
2,3,1,1,5,4,[]
2,4,1,1,5,5,[]
2,5,1,1,5,6,[]
2,6,1,1,5,7,[]
2,7,1,1,5,8,[]
2,8,1,1,5,9,[]
2,9,1,1,5,10,[]
3,4,1.203997648442093,1.1240446796002352,7,5,[7 11 17 13 5]
3,3,1.128747795414462,1.1146384479717812,7,4,[7 11 17 13]
3,2,1.1005291005291005,1.1005291005291005,7,3,[7 11 17]
3,1,1.0793650793650793,1.0793650793650795,7,2,[7 11]
3,0,1.0476190476190477,1.0476190476190477,7,1,[7]
3,5,1,1,7,6,[]
3,6,1,1,7,7,[]
3,7,1,1,7,8,[]
3,8,1,1,7,9,[]
3,9,1,1,7,10,[]
4,5,1.248590153939948,1.1656759640298735,9,6,[9 7 11 17 13 5]
4,4,1.1705532693187013,1.1559213534522175,9,5,[9 7 11 17 13]
4,3,1.1412894375857339,1.1412894375857339,9,4,[9 7 11 17]
4,2,1.1193415637860082,1.1193415637860082,9,3,[9 7 11]
4,1,1.0864197530864197,1.0864197530864197,9,2,[9 7]
4,0,1.037037037037037,1.037037037037037,9,1,[9]
4,6,1,1,9,7,[]
4,7,1,1,9,8,[]
4,8,1,1,9,9,[]
4,9,1,1,9,10,[]
5,3,1.1492704826038156,1.0729517396184063,11,4,[11 17 13 5]
5,2,1.0774410774410772,1.063973063973064,11,3,[11 17 13]
5,1,1.0505050505050504,1.0505050505050504,11,2,[11 17]
5,0,1.0303030303030303,1.0303030303030303,11,1,[11]
5,4,1,1,11,5,[]
5,5,1,1,11,6,[]
5,6,1,1,11,7,[]
5,7,1,1,11,8,[]
5,8,1,1,11,9,[]
5,9,1,1,11,10,[]
6,1,1.094017094017094,1.094017094017094,13,2,[13 5]
6,0,1.0256410256410255,1.0256410256410255,13,1,[13]
6,2,1,1,13,3,[]
6,3,1,1,13,4,[]
6,4,1,1,13,5,[]
6,5,1,1,13,6,[]
6,6,1,1,13,7,[]
6,7,1,1,13,8,[]
6,8,1,1,13,9,[]
6,9,1,1,13,10,[]
7,4,1.1237311385459532,1.0578875171467763,15,5,[15 23 35 53 5]
7,3,1.0534979423868311,1.0534979423868311,15,4,[15 23 35 53]
7,2,1.0469135802469134,1.0469135802469136,15,3,[15 23 35]
7,1,1.037037037037037,1.037037037037037,15,2,[15 23]
7,0,1.0222222222222221,1.0222222222222221,15,1,[15]
7,5,1,1,15,6,[]
7,6,1,1,15,7,[]
7,7,1,1,15,8,[]
7,8,1,1,15,9,[]
7,9,1,1,15,10,[]
8,2,1.1154684095860565,1.06318082788671,17,3,[17 13 5]
8,1,1.045751633986928,1.045751633986928,17,2,[17 13]
8,0,1.0196078431372548,1.0196078431372548,17,1,[17]
8,3,1,1,17,4,[]
8,4,1,1,17,5,[]
8,5,1,1,17,6,[]
8,6,1,1,17,7,[]
8,7,1,1,17,8,[]
8,8,1,1,17,9,[]
8,9,1,1,17,10,[]
9,5,1.182874882679951,1.0480109739369,19,6,[19 29 11 17 13 5]
9,4,1.108945202512454,1.0457006714316657,19,5,[19 29 11 17 13]
9,3,1.0812215724496428,1.0422352176738143,19,4,[19 29 11 17]
9,2,1.0604288499025343,1.0370370370370372,19,3,[19 29 11]
9,1,1.0292397660818715,1.0292397660818715,19,2,[19 29]
9,0,1.0175438596491229,1.0175438596491229,19,1,[19]
9,6,1,1,19,7,[]
9,7,1,1,19,8,[]
9,8,1,1,19,9,[]
9,9,1,1,19,10,[]
